Agency Name,Address,Type
United Haitian Baptist Church,2015 Parker Ave West Palm Beach FL 33401,Church
First Baptist Church of Islamorada,81201 Overseas Hwy Islamorada FL 33036,Church
Hope in Action - West 33168,14055 Okeechobee Blvd Loxahatchee FL 33470,Outreach/Church
7th Day Church of Living God,2400 Ware Dr West Palm Beach FL 33409,Church
Feed the Hungry Pantry of PBC,900 Brandywine Rd West Palm Beach FL 33409,Food Pantry
True Fast Ministry Outreach,638 6th Street West Palm Beach FL 33401,Outreach
More Than Conquerors,3275 N Haverhill Rd West Palm Beach FL 33417,Outreach
Payne Chapel Development Inc,801 9th St West Palm Beach FL 33401,Non-profit
New Bethel Church,911 9th St West Palm Beach FL 33401,Church
Feast of the Lord,523 18th ST West Palm Beach FL 33407,Outreach/Ministry
St. Ann's Place Outreach Center,2107 North Dixie Highway West Palm Beach FL 33407,Outreach Center
Northwood United Methodist Church,4015 Spruce Ave West Palm Beach FL 33407,Church
Redemptive Life,4431 Embarcadero Dr West Palm Beach FL 33407,Outreach/Church
Liberty Movement,1301 53 St West Palm Beach FL 33407,Outreach
12th Street COGOP,601 SE 12th St Belle Glade FL 33430,Church
Riviera Beach Community Outreach,1144 West 6th St Riviera Beach FL 33404,Outreach
The Jack Brewer Foundation,625 Palm Beach Road South Bay FL 33493,Foundation
South Bay- Mt Calvary Baptist Church,180 SW 10th Ave South Bay FL 33493,Church
Dot & Ruby Helping Hand,227 SW 6th St Belle Glade FL 33430,Outreach
Farmworker Coordinating Council - Belle Glade,233 W Ave A Belle Glade FL 33430,Social Services
Faith Deliverance- Riviera Beach,3437 Ave O Riviera Beach FL 33404,Church
Faith Deliverance Church/Feeding Hope Village Inc.,3437 Avenue O Riviera Beach FL 33404,Church/Village
EVERGLADES COMMUNITY FOOD PANTRY,101 S. COPELAND AVE EVERGLADES CITY FL 34139,Food Pantry
St. Mary's Catholic Church,1200 E Main St Pahokee FL 33476,Church
First United Methodist Church Jupiter,815 E Indiantown Road Jupiter FL 33477,Church
"COMPASSION AVENUE, INC.",370 HOLIDAY ISLES CLEWISTON FL 33440,Non-profit
JOSEPH PROJECT 863 INC,944 HARLEM ACADEMY AVE CLEWISTON FL 33440,Non-profit
FEEDING WITH HOPE,217 East Aztec Avenue CLEWISTON FL 33440,Outreach
Clewiston High School,1501 S. Francisco St. Clewiston FL 33440,School
CATHOLIC CHARITIES OF HENDRY/GLADES,204 N Deanne Duff Clewiston FL 33440,Non-profit
SERVING WITH LOVE MINISTRIES,330 S. ESTRIBO ST. CLEWISTON FL 33440,Ministry
IGLESIA CASA DE LIBERACION,225 N Hacienda St Clewiston FL 33440,Church
Farm Workers Village,Farm Worker Way & Bell Circle Immokalee FL 34142,Residential Village
Village Oaks Elementary,1601 FL-29 Immokalee FL 34142,School
Ebenezer Spanish SDA Church,6566 SW 33rd St Miami FL 33155,Church
Buddy System,301 Westward Dr Miami FL 33166,Non-profit
Bethsaida SDA Church,10185 NW 7th Ave Miami FL 33150,Church
Bible Baptist Church,9801 NW 24th Ave Miami FL 33147,Church
New Revelation Church,777 NW 106th St Miami FL 33150,Church
Unity Pentecostal COG,801 NW 111th St North Miami FL 33168,Church
Faithful Deliverance Temple,769 NW 111th St Miami FL 33168,Church
Allen Chapel AME Church,1201 NW 111th St Miami FL 33167,Church
Pinewood Garden,1201 NW 112th St Miami FL 33167,Garden
Mispa Missionary Community Church,11648 NW 7th Ave Miami FL 33168,Church
Iglesia de Dios Pent,1751 NW 115th St Miami FL 33167,Church
N. Miami Church of Nazarene,1195 NW 124th St North Miami FL 33168,Church
Daphne Duggan Agency,14250 N Miami Ave Miami FL 33168,Outreach
Good News Food Pantry,12695 NW 7th Ave North Miami FL 33168,Food Pantry
First Baptist Church of Coral Park,8755 SW 16th St Miami FL 33165,Church
Beree SDA Church,13018 NE 8th ave North Miami FL 33161,Church
Bezerra de Menezes Food Pantry,6450 NW 77th Ct Miami FL 33166,Food Pantry
N. Miami Ave COG,14250 N Miami Ave Miami FL 33168,Church
Centro Comunitario AFE Miami,6090 NW 84th Ave Miami FL 33166,Community Center
Ministerio Renuevo,4100 NW 135th St -unidad 1-A Opa Locka FL 33054,Ministry
